sample_id,ManNAc,PEP,Neu5Ac,NeuS,enzyme
MAN_M,0.0,20.0,0,0.000414,0.016
MAN_A,0.039,20.0,0,0.000414,0.016
MAN_B,0.078125,20.0,0,0.000414,0.016
MAN_C,0.15625,20.0,0,0.000414,0.016
MAN_D,1.25,20.0,0,0.000414,0.016
MAN_E,2.5,20.0,0,0.000414,0.016
MAN_F,5.0,20.0,0,0.000414,0.016
MAN_G,10.0,20.0,0,0.000414,0.016
MAN_H,15.0,20.0,0,0.000414,0.016
MAN_I,20.0,20.0,0,0.000414,0.016
MAN_J,35.0,20.0,0,0.000414,0.016
MAN_K,50.0,20.0,0,0.000414,0.016
MAN_L,100.0,20.0,0,0.000414,0.016
PEP_A,50.0,0.0,0,0.000414,0.016
PEP_H,50.0,0.0390625,0,0.000414,0.016
PEP_I,50.0,0.078125,0,0.000414,0.016
PEP_J,50.0,0.15625,0,0.000414,0.016
PEP_K,50.0,0.3125,0,0.000414,0.016
PEP_L,50.0,0.625,0,0.000414,0.016
PEP_M,50.0,1.25,0,0.000414,0.016
PEP_N,50.0,2.5,0,0.000414,0.016
PEP_O,50.0,5.0,0,0.000414,0.016
PEP_P,50.0,10.0,0,0.000414,0.016
PEP_R,50.0,20.0,0,0.000414,0.016
CAL_1,1.0,1.0,1,0,0.0
CAL_2,2.0,2.0,2,0,0.0
CAL_3,3.0,3.0,3,0,0.0
CAL_4,4.0,4.0,4,0,0.0
CAL_5,5.0,5.0,5,0,0.0
