[Header]
Application Name	LabSolutions
Version	5.101
Data File Name	C:\Users\User\Desktop\Mervan_EnyzmeML\Kinetics\Kinetics\ManNAc\A (1).lcd
Output Date	11.3.2026.
Output Time	14:07:35

[File Information]
Type	Data File
Generated	25.7.2022. 13:14:12
Generated by	System Administrator
Modified	28.7.2022. 8:58:32
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	25.7.2022. 13:14:29
Sample Type	0:Unknown
Level	0
Sample Name	
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	15

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Mervan\Method development\2022-07-25 (ManNAc)\A0.lcd
Method File	C:\LabSolutions\Data\Project1\Mervan\Mervan Derivatization - Short - Isocratic.lcm
Batch File	C:\LabSolutions\Data\Project1\Mervan batch.lcb
Report Format File	c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	LC40_01
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	2
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	10,038	9,899	10,293	18875	2047	9,220	56,217	   			0,000	23127	6,486	1,233	0,000	0,000	0	0	0,000	0,000
2	10,626	10,475	10,869	14700	1688	8,709	43,783	   			0,059	28734	5,220	1,158	2,284	0,000	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[Group Results(PDA)]
# of Groups	0

[LC Status Trace(Pump A Pressure)]
Interval(msec)	1000
# of Points	1921
Start Time(min)	0,000
End Time(min)	32,000
Intensity Units	bar
Intensity Multiplier	0,980665
R.Time (min)	Intensity
0,00000	80,7
0,01667	80,7
0,03333	80,8
0,05000	81,1
0,06667	81,5
0,08333	81,9
0,10000	83,0
0,11667	83,2
0,13333	83,4
0,15000	83,3
0,16667	83,2
0,18333	82,9
0,20000	83,3
0,21667	83,5
0,23333	83,7
0,25000	83,8
0,26667	83,9
0,28333	84,0
0,30000	84,1
0,31667	84,0
0,33333	84,0
0,35000	84,1
0,36667	84,0
0,38333	84,1
0,40000	84,0
0,41667	84,0
0,43333	84,0
0,45000	84,1
0,46667	84,1
0,48333	84,0
0,50000	84,0
0,51667	84,1
0,53333	83,9
0,55000	84,0
0,56667	84,0
0,58333	84,0
0,60000	84,0
0,61667	84,0
0,63333	83,9
0,65000	83,9
0,66667	84,0
0,68333	83,9
0,70000	83,9
0,71667	84,0
0,73333	83,9
0,75000	83,9
0,76667	83,9
0,78333	83,9
0,80000	83,9
0,81667	83,9
0,83333	83,8
0,85000	83,8
0,86667	83,9
0,88333	83,9
0,90000	83,9
0,91667	83,9
0,93333	83,8
0,95000	83,8
0,96667	83,9
0,98333	83,9
1,00000	83,8
1,01667	83,9
1,03333	83,8
1,05000	83,8
1,06667	83,9
1,08333	83,8
1,10000	83,9
1,11667	83,8
1,13333	83,8
1,15000	83,8
1,16667	83,8
1,18333	83,8
1,20000	83,8
1,21667	83,7
1,23333	83,8
1,25000	83,8
1,26667	83,8
1,28333	83,8
1,30000	83,8
1,31667	83,8
1,33333	83,8
1,35000	83,8
1,36667	83,8
1,38333	83,8
1,40000	83,8
1,41667	83,8
1,43333	83,8
1,45000	83,8
1,46667	83,9
1,48333	83,7
1,50000	83,7
1,51667	83,8
1,53333	83,8
1,55000	83,8
1,56667	83,7
1,58333	83,7
1,60000	83,8
1,61667	83,8
1,63333	83,8
1,65000	83,7
1,66667	83,7
1,68333	83,7
1,70000	83,7
1,71667	83,7
1,73333	83,7
1,75000	83,7
1,76667	83,7
1,78333	83,7
1,80000	83,7
1,81667	83,6
1,83333	83,7
1,85000	83,7
1,86667	83,7
1,88333	83,6
1,90000	83,6
1,91667	83,6
1,93333	83,6
1,95000	83,6
1,96667	83,6
1,98333	83,6
2,00000	83,6
2,01667	83,6
2,03333	83,6
2,05000	83,6
2,06667	83,6
2,08333	83,6
2,10000	83,6
2,11667	83,5
2,13333	83,5
2,15000	83,5
2,16667	83,6
2,18333	83,5
2,20000	83,5
2,21667	83,6
2,23333	83,6
2,25000	83,6
2,26667	83,5
2,28333	83,5
2,30000	83,5
2,31667	83,6
2,33333	83,6
2,35000	83,5
2,36667	83,6
2,38333	83,5
2,40000	83,6
2,41667	83,5
2,43333	83,6
2,45000	83,5
2,46667	83,6
2,48333	83,5
2,50000	83,6
2,51667	83,6
2,53333	83,5
2,55000	83,6
2,56667	83,5
2,58333	83,6
2,60000	83,5
2,61667	83,6
